date,SPY,QQQ,DIA,TLT,GLD,EFA,EEM,BND,VNQ
2007-10-11 00:00:00+00:00,114.2646622079,46.0380739938,97.2641154803,55.9082099342,73.91,51.9446985702,37.5753545339,46.7818595887,38.8721277936
2007-10-12 00:00:00+00:00,114.896730923,46.7986726336,97.8953853262,55.6352082277,74.59,52.1719335959,38.2614214004,46.7074747583,38.5053608736
2007-10-15 00:00:00+00:00,113.926574925,46.4402295965,97.1323118861,55.6479059815,75.14,51.7481709805,37.7936485369,46.6702823431,37.782158496
2007-10-16 00:00:00+00:00,113.0225736608,46.2216667689,96.5357271966,55.6669526122,75.12,50.949777647,37.0931886592,46.769462117,37.3224084131
2007-10-17 00:00:00+00:00,113.3680068965,46.8161576599,96.5357271966,56.2764447941,74.5,51.4902285189,37.9495728247,47.0050140799,37.2655853692
2007-10-18 00:00:00+00:00,112.9564292166,47.0172354612,96.2859940708,56.5875397619,76.0,51.6130582625,38.1414796405,47.0670014386,37.2759168317
2007-10-19 00:00:00+00:00,110.0018759511,45.8457387056,93.7075481058,57.4319403889,75.7,50.4768831342,36.5102717062,47.2901559298,35.6900373324
2007-10-22 00:00:00+00:00,110.6412898841,46.396517031,94.0686829536,57.4382892658,74.6,50.4154682624,36.774143578,47.2591622505,36.6250346919
2007-10-23 00:00:00+00:00,111.5379459305,47.3669359853,94.7423383428,57.3621027431,75.23,51.1278807753,37.7936485369,47.2455250315,37.012464537
2007-10-24 00:00:00+00:00,111.3321570905,47.0084929481,94.7978975501,57.787477495,75.52,51.017334006,37.5465685116,47.4327268547,36.3925767848
2007-10-25 00:00:00+00:00,111.5967436868,46.3790320048,95.0756935869,57.5906623113,76.03,51.2507105189,38.0239367159,47.3955344395,36.4700627539
2007-10-26 00:00:00+00:00,112.9049766781,47.1483731577,95.8049081835,57.4573358965,77.69,52.1780750831,39.1010137196,47.327348345,37.0227959996
2007-10-29 00:00:00+00:00,113.2798150392,47.3494509591,96.2910512478,57.6795465878,78.12,52.5588472883,40.0005769186,47.3335470809,36.4184054412
2007-10-30 00:00:00+00:00,112.4933997332,47.4368760901,95.7146244715,57.6478022033,77.35,52.14122616,39.2449438314,47.3459445526,36.9194813742
2007-10-31 00:00:00+00:00,113.6619875938,48.1100495989,96.4993982754,57.127194298,78.62,52.8782046216,40.1061256673,47.1723799483,37.6891753332
2007-11-01 00:00:00+00:00,111.00142605,47.2095707494,94.3464789904,57.8660562746,77.93,51.766595442,38.486911909,47.4417379571,35.9276609707
2007-11-02 00:00:00+00:00,111.1263682506,47.5767562997,94.4853770088,58.0509725977,79.83,52.0552453395,38.705205912,47.4977347625,35.4162535751
2007-11-05 00:00:00+00:00,110.2811654776,47.2707683411,93.9020053315,58.0254668979,79.75,51.2261445701,37.3594593662,47.3608536825,34.9048461796
2007-11-06 00:00:00+00:00,111.765793208,47.8040616403,94.8048424511,57.7449042008,81.43,51.9999719549,38.7771709679,47.2861912752,35.3439333374
2007-11-07 00:00:00+00:00,108.70834589,46.6413073978,92.6102537605,57.8469269998,82.24,51.0971733394,37.5417708412,47.3546318152,34.2436325772
2007-11-08 00:00:00+00:00,108.1571238143,45.2250202753,91.9852126778,57.7449042008,82.23,51.1892956471,37.733677657,47.4106286207,34.3469472026
2007-11-09 00:00:00+00:00,106.6724953491,43.7125655087,90.499003881,58.2358889207,82.18,50.1943747239,36.8461086339,47.4729095121,34.0679977141
2007-11-12 00:00:00+00:00,105.6141474938,42.6022663448,90.1239792314,58.4463109436,78.3,49.3714154417,34.807098716,47.5786190371,34.4605932905
2007-11-13 00:00:00+00:00,108.8332880906,44.3595114783,92.4644108412,58.2295124958,79.12,50.6979766726,37.2659047935,47.4355160898,35.6022199008
2007-11-14 00:00:00+00:00,108.531950416,43.7912481266,92.1657801017,58.2932767451,80.28,50.6181373393,37.3018873214,47.4355160898,34.8790175232
2007-11-15 00:00:00+00:00,106.9664760463,43.5552002729,91.3046123877,58.8416492895,77.95,49.7828950828,36.4431043207,47.6035065062,34.817028748
2007-11-16 00:00:00+00:00,107.1502167382,43.9573558756,91.5460935375,58.9245428136,77.75,49.9425737495,36.8940853378,47.5848409043,34.1661466082
2007-11-19 00:00:00+00:00,105.65824379,43.4502901157,90.2645596657,59.3071283096,77.24,48.6221540057,35.1933111828,47.7217219843,33.4222813056
2007-11-20 00:00:00+00:00,106.3050139653,43.6251403777,90.7729942997,59.2433640603,79.47,49.7091972366,36.1600417674,47.6159502407,32.7765648971
2007-11-21 00:00:00+00:00,104.1295197635,43.1093321047,89.0039203679,59.5876910067,79.36,48.5853050827,34.3393258525,47.9083780025,32.5492727213
2007-11-23 00:00:00+00:00,105.9301873636,43.5726852991,90.1391922218,59.7662309049,81.25,49.8074610315,35.354033141,47.8150499934,33.1898233985
2007-11-26 00:00:00+00:00,103.592999883,42.8208291724,88.774080054,60.9458695176,81.3,49.0274921596,33.9507145505,48.1883620298,31.5987781679
2007-11-27 00:00:00+00:00,104.7836469161,43.6775954563,90.0695436418,60.3656148486,80.1,49.6907727751,35.2508832275,47.9332654716,32.3374777393
2007-11-28 00:00:00+00:00,108.1350756663,45.0064574478,92.5142087994,59.9575236529,79.57,51.1033148265,37.1819455615,47.8834905334,33.758053838
2007-11-29 00:00:00+00:00,108.1718149851,45.198792736,92.7510139714,60.4740140725,78.28,50.6856936983,36.726166874,48.0763684189,33.2156520549
2007-11-30 00:00:00+00:00,109.2595679657,44.8578347251,93.4405349132,60.1806985256,77.32,50.9620606214,37.0380154497,48.0962783942,34.1196550268
2007-12-03 00:00:00+00:00,108.5392963689,44.4819066617,92.8485219833,60.656307772,78.28,50.7716745188,36.7165715332,48.3294696243,33.7528881068
2007-12-04 00:00:00+00:00,107.5691513954,44.2983138865,92.2356144794,60.6499060509,79.4,50.4523171854,36.6206181253,48.3042336081,32.8437194035
2007-12-05 00:00:00+00:00,109.369807971,45.0851400657,93.6425157952,59.9265115624,78.63,51.0357584676,38.2470283892,48.1982923124,33.949185895
